2021.4.5 14:54:26:801   leftController:(0.25, 1.15, 0.28)  rightController:(-0.02, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:26:976   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:26:992   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:18   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:32   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:47   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:57   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:70   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:83   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:92   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:102   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
2021.4.5 14:54:27:119   leftController:(0.24, 1.14, 0.27)  rightController:(-0.03, 1.20, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.55, -0.05)
