2021.4.5 20:01:27:805   leftController:(0.28, 1.16, 0.35)  rightController:(0.04, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.62, 0.05)
2021.4.5 20:01:27:822   leftController:(0.28, 1.16, 0.35)  rightController:(0.04, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.62, 0.05)
2021.4.5 20:01:27:836   leftController:(0.28, 1.16, 0.35)  rightController:(0.04, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.62, 0.05)
2021.4.5 20:01:28:03   leftController:(0.28, 1.16, 0.35)  rightController:(0.04, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.05)
2021.4.5 20:01:28:23   leftController:(0.28, 1.16, 0.35)  rightController:(0.04, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.05)
2021.4.5 20:01:28:46   leftController:(0.28, 1.16, 0.35)  rightController:(0.03, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.05)
2021.4.5 20:01:28:61   leftController:(0.28, 1.16, 0.35)  rightController:(0.03, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.05)
2021.4.5 20:01:28:73   leftController:(0.28, 1.16, 0.35)  rightController:(0.03, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.05)
2021.4.5 20:01:28:86   leftController:(0.28, 1.16, 0.35)  rightController:(0.03, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.05)
2021.4.5 20:01:28:94   leftController:(0.28, 1.16, 0.35)  rightController:(0.03, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
2021.4.5 20:01:28:104   leftController:(0.28, 1.16, 0.35)  rightController:(0.03, 1.14, 0.29)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.13, 1.62, 0.04)
