2021.4.5 20:04:04:222   leftController:(0.21, 1.24, 0.31)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:382   leftController:(0.21, 1.24, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:401   leftController:(0.21, 1.24, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:419   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:439   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:449   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:459   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:468   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:479   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:495   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.14, 1.63, -0.03)
2021.4.5 20:04:04:509   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:518   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:526   leftController:(0.21, 1.23, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.08)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:541   leftController:(0.21, 1.22, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:565   leftController:(0.22, 1.22, 0.30)  rightController:(-0.03, 0.95, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:587   leftController:(0.22, 1.22, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:609   leftController:(0.22, 1.22, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:631   leftController:(0.22, 1.21, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:652   leftController:(0.22, 1.21, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:684   leftController:(0.23, 1.20, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.64, -0.03)
2021.4.5 20:04:04:699   leftController:(0.23, 1.19, 0.30)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
2021.4.5 20:04:04:723   leftController:(0.23, 1.18, 0.29)  rightController:(-0.03, 0.96, 0.15)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.03)
