2021.4.5 20:06:54:02   leftController:(0.30, 1.15, 0.27)  rightController:(0.04, 1.09, 0.13)  leftTracker:(0.04, 0.24, -0.18)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.17, 1.62, -0.04)
2021.4.5 20:06:54:164   leftController:(0.30, 1.15, 0.27)  rightController:(0.02, 1.10, 0.12)  leftTracker:(0.04, 0.24, -0.18)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:183   leftController:(0.30, 1.15, 0.27)  rightController:(0.02, 1.10, 0.12)  leftTracker:(0.04, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:205   leftController:(0.30, 1.14, 0.27)  rightController:(0.02, 1.10, 0.12)  leftTracker:(0.04, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:218   leftController:(0.30, 1.14, 0.27)  rightController:(0.02, 1.10, 0.12)  leftTracker:(0.04, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:230   leftController:(0.30, 1.14, 0.27)  rightController:(0.02, 1.10, 0.12)  leftTracker:(0.04, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:241   leftController:(0.30, 1.14, 0.27)  rightController:(0.02, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:251   leftController:(0.30, 1.14, 0.27)  rightController:(0.02, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:265   leftController:(0.30, 1.14, 0.27)  rightController:(0.01, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:275   leftController:(0.30, 1.14, 0.27)  rightController:(0.01, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:284   leftController:(0.30, 1.14, 0.27)  rightController:(0.01, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:293   leftController:(0.30, 1.14, 0.27)  rightController:(0.01, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:302   leftController:(0.30, 1.14, 0.27)  rightController:(0.01, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.16, 1.62, -0.04)
2021.4.5 20:06:54:323   leftController:(0.30, 1.13, 0.27)  rightController:(0.01, 1.10, 0.12)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:345   leftController:(0.30, 1.13, 0.26)  rightController:(0.01, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:367   leftController:(0.30, 1.13, 0.26)  rightController:(0.01, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:389   leftController:(0.30, 1.13, 0.26)  rightController:(0.01, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:417   leftController:(0.30, 1.13, 0.26)  rightController:(0.00, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:437   leftController:(0.30, 1.12, 0.26)  rightController:(0.00, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:459   leftController:(0.30, 1.12, 0.26)  rightController:(0.00, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:478   leftController:(0.30, 1.12, 0.26)  rightController:(0.00, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:501   leftController:(0.30, 1.12, 0.26)  rightController:(0.00, 1.09, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.24, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:523   leftController:(0.30, 1.11, 0.26)  rightController:(0.00, 1.08, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:546   leftController:(0.30, 1.11, 0.26)  rightController:(0.00, 1.08, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:568   leftController:(0.30, 1.11, 0.26)  rightController:(0.00, 1.08, 0.12)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.15, 1.62, -0.04)
2021.4.5 20:06:54:592   leftController:(0.30, 1.10, 0.26)  rightController:(0.00, 1.08, 0.13)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.29, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:612   leftController:(0.30, 1.10, 0.26)  rightController:(0.00, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:637   leftController:(0.30, 1.10, 0.25)  rightController:(0.00, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.19)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:657   leftController:(0.30, 1.10, 0.25)  rightController:(-0.01, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:680   leftController:(0.30, 1.09, 0.25)  rightController:(-0.01, 1.06, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:704   leftController:(0.30, 1.09, 0.25)  rightController:(-0.01, 1.06, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:724   leftController:(0.30, 1.09, 0.25)  rightController:(-0.01, 1.06, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:746   leftController:(0.30, 1.09, 0.25)  rightController:(-0.01, 1.06, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:769   leftController:(0.31, 1.09, 0.25)  rightController:(-0.01, 1.06, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:791   leftController:(0.31, 1.09, 0.25)  rightController:(-0.01, 1.06, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:802   leftController:(0.31, 1.09, 0.25)  rightController:(-0.01, 1.06, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.04)
2021.4.5 20:06:54:814   leftController:(0.31, 1.09, 0.25)  rightController:(-0.01, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:825   leftController:(0.31, 1.09, 0.25)  rightController:(-0.01, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:840   leftController:(0.31, 1.09, 0.25)  rightController:(-0.02, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:849   leftController:(0.31, 1.09, 0.25)  rightController:(-0.02, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
2021.4.5 20:06:54:859   leftController:(0.31, 1.09, 0.25)  rightController:(-0.02, 1.07, 0.13)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.14, 1.62, -0.03)
