2021.4.5 20:14:59:309   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:457   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:476   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:501   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:512   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:521   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:529   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:538   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:546   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:558   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:573   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:584   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:604   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.07, 1.68, -0.02)
2021.4.5 20:14:59:626   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.16, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.08, 1.68, -0.02)
2021.4.5 20:14:59:650   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.15, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.08, 1.68, -0.02)
2021.4.5 20:14:59:674   leftController:(-0.02, 1.20, 0.20)  rightController:(0.19, 1.15, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.08, 1.68, -0.02)
2021.4.5 20:14:59:693   leftController:(-0.02, 1.20, 0.20)  rightController:(0.20, 1.15, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.08, 1.68, -0.02)
2021.4.5 20:14:59:716   leftController:(-0.03, 1.20, 0.20)  rightController:(0.20, 1.14, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.08, 1.68, -0.02)
2021.4.5 20:14:59:739   leftController:(-0.03, 1.20, 0.20)  rightController:(0.20, 1.13, 0.19)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.08, 1.68, -0.02)
2021.4.5 20:14:59:766   leftController:(-0.03, 1.19, 0.20)  rightController:(0.20, 1.12, 0.20)  leftTracker:(-0.06, 0.22, -0.09)  rightTracker:(0.16, 0.21, -0.07)  headset:(0.08, 1.68, -0.02)
