2021.4.5 20:17:35:304   leftController:(-0.01, 0.74, -0.05)  rightController:(0.24, 1.22, 0.08)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.67, -0.13)
2021.4.5 20:17:35:451   leftController:(-0.01, 0.74, -0.05)  rightController:(0.23, 1.22, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:474   leftController:(-0.01, 0.73, -0.05)  rightController:(0.23, 1.22, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:493   leftController:(-0.01, 0.73, -0.05)  rightController:(0.23, 1.21, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:508   leftController:(-0.01, 0.73, -0.05)  rightController:(0.23, 1.21, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:523   leftController:(-0.01, 0.73, -0.05)  rightController:(0.22, 1.21, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.14)
2021.4.5 20:17:35:536   leftController:(-0.01, 0.73, -0.05)  rightController:(0.22, 1.20, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.14)
2021.4.5 20:17:35:546   leftController:(-0.01, 0.73, -0.05)  rightController:(0.22, 1.20, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.14)
2021.4.5 20:17:35:558   leftController:(-0.01, 0.73, -0.05)  rightController:(0.22, 1.19, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.14)
2021.4.5 20:17:35:567   leftController:(-0.01, 0.73, -0.05)  rightController:(0.22, 1.18, 0.08)  leftTracker:(0.00, 0.22, -0.16)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.14)
2021.4.5 20:17:35:576   leftController:(-0.01, 0.73, -0.05)  rightController:(0.22, 1.18, 0.09)  leftTracker:(0.00, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.14)
2021.4.5 20:17:35:590   leftController:(-0.02, 0.73, -0.05)  rightController:(0.21, 1.16, 0.09)  leftTracker:(0.00, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.14)
2021.4.5 20:17:35:615   leftController:(-0.02, 0.73, -0.05)  rightController:(0.21, 1.14, 0.09)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.14)
2021.4.5 20:17:35:634   leftController:(-0.02, 0.73, -0.05)  rightController:(0.21, 1.11, 0.10)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.14)
2021.4.5 20:17:35:657   leftController:(-0.02, 0.73, -0.04)  rightController:(0.20, 1.08, 0.10)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.14)
2021.4.5 20:17:35:679   leftController:(-0.02, 0.73, -0.04)  rightController:(0.20, 1.04, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.67, -0.14)
2021.4.5 20:17:35:702   leftController:(-0.02, 0.73, -0.04)  rightController:(0.20, 1.00, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.67, -0.14)
2021.4.5 20:17:35:724   leftController:(-0.02, 0.74, -0.03)  rightController:(0.20, 0.95, 0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:749   leftController:(-0.02, 0.74, -0.03)  rightController:(0.20, 0.90, 0.09)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:769   leftController:(-0.02, 0.74, -0.03)  rightController:(0.21, 0.87, 0.08)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:791   leftController:(-0.02, 0.75, -0.02)  rightController:(0.22, 0.84, 0.07)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.68, -0.13)
2021.4.5 20:17:35:815   leftController:(-0.02, 0.75, -0.02)  rightController:(0.23, 0.80, 0.05)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.15, 1.67, -0.13)
2021.4.5 20:17:35:837   leftController:(-0.02, 0.75, -0.02)  rightController:(0.23, 0.78, 0.03)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:858   leftController:(-0.02, 0.76, -0.02)  rightController:(0.24, 0.75, 0.02)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:880   leftController:(-0.02, 0.76, -0.02)  rightController:(0.25, 0.73, 0.00)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:903   leftController:(-0.02, 0.76, -0.02)  rightController:(0.27, 0.71, -0.02)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:926   leftController:(-0.02, 0.76, -0.03)  rightController:(0.28, 0.69, -0.05)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:947   leftController:(-0.02, 0.76, -0.03)  rightController:(0.29, 0.68, -0.07)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.13)
2021.4.5 20:17:35:970   leftController:(-0.02, 0.76, -0.03)  rightController:(0.31, 0.68, -0.09)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.67, -0.12)
2021.4.5 20:17:35:994   leftController:(-0.02, 0.75, -0.04)  rightController:(0.32, 0.67, -0.11)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.66, -0.12)
2021.4.5 20:17:36:14   leftController:(-0.02, 0.75, -0.04)  rightController:(0.33, 0.67, -0.12)  leftTracker:(-0.01, 0.22, -0.18)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.14, 1.66, -0.12)
2021.4.5 20:17:36:37   leftController:(-0.02, 0.75, -0.04)  rightController:(0.34, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:59   leftController:(-0.02, 0.75, -0.04)  rightController:(0.34, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:83   leftController:(-0.02, 0.75, -0.04)  rightController:(0.35, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:94   leftController:(-0.03, 0.75, -0.04)  rightController:(0.35, 0.67, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:104   leftController:(-0.03, 0.75, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:116   leftController:(-0.03, 0.75, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:129   leftController:(-0.03, 0.76, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:138   leftController:(-0.03, 0.76, -0.04)  rightController:(0.35, 0.68, -0.13)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.13, 1.66, -0.12)
2021.4.5 20:17:36:149   leftController:(-0.04, 0.76, -0.03)  rightController:(0.35, 0.69, -0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:159   leftController:(-0.04, 0.76, -0.03)  rightController:(0.35, 0.69, -0.12)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:171   leftController:(-0.04, 0.76, -0.03)  rightController:(0.35, 0.69, -0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:185   leftController:(-0.05, 0.77, -0.02)  rightController:(0.35, 0.70, -0.11)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:194   leftController:(-0.05, 0.77, -0.02)  rightController:(0.35, 0.70, -0.10)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:203   leftController:(-0.05, 0.78, -0.01)  rightController:(0.35, 0.71, -0.09)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:216   leftController:(-0.06, 0.78, -0.01)  rightController:(0.35, 0.71, -0.09)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:230   leftController:(-0.06, 0.79, 0.00)  rightController:(0.35, 0.72, -0.08)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:240   leftController:(-0.07, 0.79, 0.00)  rightController:(0.35, 0.72, -0.07)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:249   leftController:(-0.07, 0.79, 0.01)  rightController:(0.35, 0.73, -0.07)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:263   leftController:(-0.08, 0.80, 0.01)  rightController:(0.35, 0.74, -0.06)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:274   leftController:(-0.08, 0.81, 0.02)  rightController:(0.35, 0.74, -0.05)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:282   leftController:(-0.08, 0.81, 0.02)  rightController:(0.35, 0.75, -0.04)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.12, 1.66, -0.12)
2021.4.5 20:17:36:293   leftController:(-0.09, 0.81, 0.03)  rightController:(0.35, 0.75, -0.04)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:307   leftController:(-0.09, 0.82, 0.04)  rightController:(0.35, 0.76, -0.03)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:324   leftController:(-0.09, 0.83, 0.05)  rightController:(0.35, 0.78, -0.02)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:334   leftController:(-0.10, 0.83, 0.05)  rightController:(0.34, 0.78, -0.01)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:346   leftController:(-0.10, 0.84, 0.06)  rightController:(0.34, 0.79, 0.00)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:364   leftController:(-0.10, 0.85, 0.07)  rightController:(0.34, 0.81, 0.01)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:377   leftController:(-0.10, 0.86, 0.07)  rightController:(0.33, 0.82, 0.02)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:387   leftController:(-0.11, 0.86, 0.08)  rightController:(0.33, 0.83, 0.03)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:396   leftController:(-0.11, 0.87, 0.08)  rightController:(0.33, 0.83, 0.03)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
2021.4.5 20:17:36:407   leftController:(-0.11, 0.88, 0.09)  rightController:(0.33, 0.84, 0.04)  leftTracker:(-0.01, 0.22, -0.17)  rightTracker:(0.23, 0.21, -0.20)  headset:(0.11, 1.66, -0.12)
