2021.4.5 20:28:10:61   leftController:(-0.14, 0.78, 0.20)  rightController:(0.17, 1.30, 0.48)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.00, 1.63, 0.13)
2021.4.5 20:28:10:225   leftController:(-0.14, 0.78, 0.20)  rightController:(0.17, 1.29, 0.48)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:241   leftController:(-0.14, 0.78, 0.20)  rightController:(0.16, 1.29, 0.48)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:266   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.28, 0.48)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:278   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.28, 0.48)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:287   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.27, 0.47)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:297   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.27, 0.47)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:306   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.26, 0.47)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:317   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.26, 0.47)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:331   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.25, 0.47)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:342   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.24, 0.47)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:351   leftController:(-0.13, 0.78, 0.20)  rightController:(0.17, 1.23, 0.47)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:369   leftController:(-0.13, 0.78, 0.20)  rightController:(0.18, 1.21, 0.46)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:391   leftController:(-0.13, 0.78, 0.20)  rightController:(0.18, 1.19, 0.46)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:414   leftController:(-0.13, 0.78, 0.20)  rightController:(0.18, 1.16, 0.45)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(-0.01, 1.63, 0.13)
2021.4.5 20:28:10:440   leftController:(-0.13, 0.78, 0.20)  rightController:(0.19, 1.12, 0.45)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.00, 1.63, 0.13)
2021.4.5 20:28:10:458   leftController:(-0.13, 0.78, 0.20)  rightController:(0.19, 1.08, 0.44)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.00, 1.63, 0.13)
2021.4.5 20:28:10:480   leftController:(-0.13, 0.78, 0.20)  rightController:(0.20, 1.04, 0.43)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.00, 1.63, 0.13)
2021.4.5 20:28:10:505   leftController:(-0.13, 0.78, 0.20)  rightController:(0.20, 1.00, 0.41)  leftTracker:(-0.09, 0.24, 0.05)  rightTracker:(0.20, 0.24, 0.04)  headset:(0.00, 1.63, 0.13)
