2021.4.6 18:06:21:656   leftController:(-0.29, 0.72, 0.13)  rightController:(0.14, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.12)  headset:(-0.03, 1.67, 0.10)  leftControllerVel:(0.16, -0.11, -0.47)  rightControllerVel:(0.00, 0.18, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.6 18:06:21:827   leftController:(-0.28, 0.70, 0.07)  rightController:(0.14, 1.58, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.03, 1.67, 0.09)  leftControllerVel:(0.02, -0.03, -0.14)  rightControllerVel:(-0.01, -0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.6 18:06:21:840   leftController:(-0.28, 0.70, 0.07)  rightController:(0.14, 1.58, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.03, 1.67, 0.09)  leftControllerVel:(0.01, -0.03, -0.10)  rightControllerVel:(-0.02, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:868   leftController:(-0.28, 0.70, 0.07)  rightController:(0.14, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(-0.04, -0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:889   leftController:(-0.28, 0.70, 0.07)  rightController:(0.14, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.01, 0.00, 0.04)  rightControllerVel:(-0.06, -0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:899   leftController:(-0.28, 0.70, 0.07)  rightController:(0.13, 1.58, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.00, 0.00, 0.06)  rightControllerVel:(-0.06, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:907   leftController:(-0.28, 0.70, 0.07)  rightController:(0.13, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.67, 0.09)  leftControllerVel:(0.00, 0.01, 0.08)  rightControllerVel:(-0.06, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:916   leftController:(-0.28, 0.70, 0.07)  rightController:(0.13, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.00, 0.01, 0.11)  rightControllerVel:(-0.06, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:924   leftController:(-0.28, 0.70, 0.07)  rightController:(0.13, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.00, 0.02, 0.13)  rightControllerVel:(-0.05, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:934   leftController:(-0.28, 0.70, 0.08)  rightController:(0.13, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.00, 0.02, 0.15)  rightControllerVel:(-0.04, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:06:21:945   leftController:(-0.28, 0.71, 0.08)  rightController:(0.13, 1.58, 0.70)  leftTracker:(-0.18, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.04, 1.66, 0.09)  leftControllerVel:(0.00, 0.03, 0.18)  rightControllerVel:(-0.03, -0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
