2021.4.6 18:08:55:395   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.48, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.05, 0.00, 0.00)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:568   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.47, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.01, -0.06, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:582   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.47, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.17, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.01, -0.07, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:607   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.47, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.03)  rightControllerVel:(-0.01, -0.08, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:622   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.47, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.00, -0.10, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:635   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.47, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, -0.11, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:646   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.47, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, -0.12, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:657   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.47, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.02, -0.13, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:670   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.46, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.02, -0.14, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:679   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.46, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.14, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:688   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.46, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.15, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:696   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.46, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.15, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:705   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.46, 0.67)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.01, -0.15, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:728   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.45, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(0.02, -0.16, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:751   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.45, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(-0.01, 0.01, 0.02)  rightControllerVel:(0.03, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:778   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.45, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.01, 0.03)  rightControllerVel:(0.04, -0.17, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:794   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.44, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.01, 0.03)  rightControllerVel:(0.04, -0.17, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:819   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.44, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.01, 0.03)  rightControllerVel:(0.03, -0.17, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:841   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.44, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(-0.01, 0.01, 0.03)  rightControllerVel:(0.02, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:861   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.43, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(-0.01, 0.01, 0.03)  rightControllerVel:(0.02, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:884   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.43, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(-0.01, 0.01, 0.02)  rightControllerVel:(0.02, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:908   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.43, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.01, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:934   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.42, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.15, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:55:954   leftController:(-0.24, 0.70, 0.14)  rightController:(0.13, 1.42, 0.68)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.14, 0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
