2021.4.7 14:59:23:309   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(-0.02, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.7 14:59:23:465   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.03, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.7 14:59:23:486   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.03, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, -0.01)
2021.4.7 14:59:23:512   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, -0.01)
2021.4.7 14:59:23:525   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.7 14:59:23:534   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.7 14:59:23:546   leftController:(0.00, 1.09, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:560   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:575   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:583   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.02, 0.02, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:23:593   leftController:(0.00, 1.10, 0.26)  rightController:(-0.26, 1.23, 0.30)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.03)  leftControllerVel:(0.03, 0.02, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
