2021.4.7 15:02:04:778   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.03, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:04:926   leftController:(0.24, 1.15, 0.45)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.05, 0.03, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:04:940   leftController:(0.24, 1.15, 0.45)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.06, 0.02, 0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:04:972   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.04, -0.02, 0.03)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:04:986   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.04, -0.03, 0.03)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:04:995   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.03, -0.03, 0.03)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:04   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.03, -0.04, 0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:17   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.02, -0.04, 0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:27   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.01, -0.04, 0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:37   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.01, -0.03, 0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:46   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:57   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:71   leftController:(0.24, 1.15, 0.46)  rightController:(-0.12, 1.17, 0.42)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.16)  leftControllerVel:(-0.01, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
