2021.4.7 15:04:32:442   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.04, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:602   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.02, 0.01, -0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:620   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.03, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:649   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:665   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:675   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:686   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.03, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:699   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.04, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:708   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.04, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:716   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.04, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:726   leftController:(0.26, 1.13, 0.53)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.04, -0.02)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:740   leftController:(0.26, 1.13, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.05, -0.02)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:752   leftController:(0.26, 1.13, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.05, -0.02)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:761   leftController:(0.26, 1.13, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.06, -0.02)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:770   leftController:(0.26, 1.13, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.06, -0.03)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:32:786   leftController:(0.26, 1.13, 0.52)  rightController:(-0.06, 1.06, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.07, -0.03)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
