2021.4.7 14:33:30:436   leftController:(0.21, 1.13, 0.34)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.15)  leftControllerVel:(-0.02, 0.03, -0.03)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:451   leftController:(0.21, 1.14, 0.33)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.15)  leftControllerVel:(-0.01, 0.03, -0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:462   leftController:(0.21, 1.14, 0.33)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.15)  leftControllerVel:(0.00, 0.03, -0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:625   leftController:(0.21, 1.15, 0.33)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.15)  leftControllerVel:(0.03, 0.20, -0.07)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:641   leftController:(0.21, 1.15, 0.33)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, 0.20, -0.07)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:679   leftController:(0.21, 1.16, 0.32)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, 0.17, -0.05)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:694   leftController:(0.21, 1.16, 0.32)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.01, 0.16, -0.05)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:702   leftController:(0.21, 1.17, 0.32)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, 0.16, -0.04)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:711   leftController:(0.21, 1.17, 0.32)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.02, 0.16, -0.05)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:723   leftController:(0.21, 1.17, 0.32)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.03, 0.15, -0.05)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:30:733   leftController:(0.22, 1.17, 0.32)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(0.04, 0.15, -0.05)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
