2021.4.7 14:36:16:511   leftController:(0.19, 1.20, 0.34)  rightController:(-0.11, 0.92, 0.29)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.11, 1.55, 0.13)  leftControllerVel:(0.02, 0.05, -0.03)  rightControllerVel:(0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, -0.01)
2021.4.7 14:36:16:663   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.11, 1.55, 0.13)  leftControllerVel:(0.03, 0.02, -0.02)  rightControllerVel:(0.03, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:676   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.11, 1.55, 0.13)  leftControllerVel:(0.02, 0.02, -0.03)  rightControllerVel:(0.04, 0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:699   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.13)  leftControllerVel:(0.03, 0.07, -0.05)  rightControllerVel:(0.04, 0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:716   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.04, 0.10, -0.07)  rightControllerVel:(0.03, 0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:724   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.04, 0.11, -0.08)  rightControllerVel:(0.03, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:733   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.05, 0.11, -0.08)  rightControllerVel:(0.03, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:743   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.05, 0.12, -0.07)  rightControllerVel:(0.03, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:756   leftController:(0.19, 1.21, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.06, 0.12, -0.07)  rightControllerVel:(0.03, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:765   leftController:(0.20, 1.22, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.05, 0.12, -0.07)  rightControllerVel:(0.02, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:16:773   leftController:(0.20, 1.22, 0.33)  rightController:(-0.10, 0.92, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.55, 0.14)  leftControllerVel:(0.05, 0.11, -0.07)  rightControllerVel:(0.02, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
