2021.4.7 14:38:50:31   leftController:(0.19, 1.13, 0.39)  rightController:(-0.17, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:186   leftController:(0.19, 1.14, 0.38)  rightController:(-0.17, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.01, 0.07, -0.02)  rightControllerVel:(-0.01, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:198   leftController:(0.19, 1.14, 0.38)  rightController:(-0.17, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.00, 0.09, -0.04)  rightControllerVel:(-0.02, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:223   leftController:(0.19, 1.14, 0.38)  rightController:(-0.17, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.02, 0.13, -0.06)  rightControllerVel:(-0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:237   leftController:(0.19, 1.14, 0.38)  rightController:(-0.17, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.03, 0.14, -0.06)  rightControllerVel:(-0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:245   leftController:(0.19, 1.15, 0.38)  rightController:(-0.17, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.03, 0.14, -0.06)  rightControllerVel:(-0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:256   leftController:(0.19, 1.15, 0.38)  rightController:(-0.18, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.03, 0.13, -0.06)  rightControllerVel:(-0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:267   leftController:(0.19, 1.15, 0.38)  rightController:(-0.18, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.02, 0.11, -0.06)  rightControllerVel:(-0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:279   leftController:(0.19, 1.15, 0.38)  rightController:(-0.18, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.02, 0.09, -0.05)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:288   leftController:(0.19, 1.15, 0.38)  rightController:(-0.18, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.01, 0.07, -0.04)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:304   leftController:(0.19, 1.15, 0.38)  rightController:(-0.18, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.00, 0.06, -0.03)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:328   leftController:(0.19, 1.15, 0.38)  rightController:(-0.18, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(0.00, 0.06, -0.04)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:38:50:349   leftController:(0.19, 1.15, 0.38)  rightController:(-0.18, 0.68, 0.06)  leftTracker:(-0.10, 0.16, 0.07)  rightTracker:(0.26, 0.13, 0.03)  headset:(0.15, 1.53, 0.18)  leftControllerVel:(-0.01, 0.07, -0.05)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
