2021.4.9 16:59:52:731   leftController:(0.34, 0.98, 0.36)  rightController:(-0.08, 0.98, 0.33)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.15)  leftControllerVel:(0.00, 0.05, 0.00)  rightControllerVel:(0.03, 0.01, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:52:914   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.98, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, -0.01, 0.03)  rightControllerVel:(0.02, 0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:52:928   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, -0.01, 0.03)  rightControllerVel:(0.03, 0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:52:953   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.03, 0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:52:968   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.02, 0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:52:980   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(0.02, 0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:52:989   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(0.03, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:52:998   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(0.02, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:53:08   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(0.02, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:53:18   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.02, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:53:28   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(0.02, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:59:53:50   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(0.01, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:53:75   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.01, 0.01, 0.01)  rightControllerVel:(0.02, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:53:97   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.01, 0.01, 0.01)  rightControllerVel:(0.02, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:59:53:123   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:59:53:140   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.16)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:59:53:165   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.17)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:59:53:184   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.17)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:59:53:207   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.17)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:59:53:229   leftController:(0.34, 0.98, 0.37)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.17)  leftControllerVel:(0.00, -0.03, -0.01)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.9 16:59:53:252   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.17)  leftControllerVel:(0.00, -0.04, -0.02)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.9 16:59:53:282   leftController:(0.34, 0.98, 0.36)  rightController:(-0.07, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.17)  leftControllerVel:(-0.01, -0.06, -0.02)  rightControllerVel:(0.03, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.9 16:59:53:296   leftController:(0.34, 0.98, 0.36)  rightController:(-0.06, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.16, 1.76, 0.17)  leftControllerVel:(-0.02, -0.07, -0.02)  rightControllerVel:(0.04, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.9 16:59:53:319   leftController:(0.34, 0.98, 0.36)  rightController:(-0.06, 0.99, 0.34)  leftTracker:(0.27, 0.21, 0.03)  rightTracker:(0.05, 0.22, 0.03)  headset:(0.17, 1.76, 0.17)  leftControllerVel:(-0.02, -0.09, -0.03)  rightControllerVel:(0.04, 0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
