2021.4.9 17:02:35:240   leftController:(0.23, 1.06, 0.34)  rightController:(-0.17, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.00, 1.74, 0.09)  leftControllerVel:(0.02, 0.04, -0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:411   leftController:(0.23, 1.05, 0.34)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.00, 1.74, 0.08)  leftControllerVel:(0.02, -0.01, -0.02)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:436   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.00, 1.74, 0.08)  leftControllerVel:(0.02, -0.01, -0.02)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:463   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.00, 1.74, 0.08)  leftControllerVel:(0.02, -0.01, -0.02)  rightControllerVel:(0.00, 0.00, -0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:475   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.00, 1.74, 0.08)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:487   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:496   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:505   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:514   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.9 17:02:35:526   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.9 17:02:35:535   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.9 17:02:35:544   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:558   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:581   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.05, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:604   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:632   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(-0.01, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:647   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:35:672   leftController:(0.23, 1.05, 0.33)  rightController:(-0.16, 1.06, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.01, 1.74, 0.08)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
