2021.4.9 16:33:37:682   leftController:(0.13, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.05, 1.64, 0.06)  leftControllerVel:(-0.03, 0.02, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:695   leftController:(0.13, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.06)  leftControllerVel:(-0.03, 0.03, -0.01)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:707   leftController:(0.13, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.06)  leftControllerVel:(-0.04, 0.04, -0.01)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:742   leftController:(0.13, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.06)  leftControllerVel:(-0.06, 0.05, -0.02)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:918   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.06)  leftControllerVel:(-0.03, -0.04, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:934   leftController:(0.12, 1.08, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, -0.04, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:971   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, -0.03, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:982   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:37:996   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:07   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:16   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:25   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:33   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:45   leftController:(0.11, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:67   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:92   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:120   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.03, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:137   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:156   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:180   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:201   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:223   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:246   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.19, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:279   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:292   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:314   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:337   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:360   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:384   leftController:(0.12, 1.07, 0.28)  rightController:(-0.02, 1.22, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
