2021.4.9 16:36:29:348   leftController:(0.07, 1.17, -0.04)  rightController:(-0.23, 1.17, -0.07)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.04, 1.64, -0.37)  leftControllerVel:(-0.07, -0.06, -0.05)  rightControllerVel:(-0.05, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:505   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.17, -0.07)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.04, 1.64, -0.37)  leftControllerVel:(-0.03, -0.05, 0.00)  rightControllerVel:(-0.01, -0.02, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:518   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.17, -0.07)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.04, 1.64, -0.37)  leftControllerVel:(-0.02, -0.05, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:550   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(-0.02, -0.05, 0.00)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:564   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(-0.02, -0.04, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:578   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:588   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(0.00, -0.04, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:596   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(0.00, -0.04, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:605   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:613   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:623   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:29:648   leftController:(0.06, 1.16, -0.05)  rightController:(-0.23, 1.16, -0.07)  leftTracker:(0.04, 0.19, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.64, -0.37)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
