2021.4.9 16:39:22:480   leftController:(0.26, 1.07, 0.22)  rightController:(-0.06, 1.07, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.10, 1.63, 0.04)  leftControllerVel:(-0.04, 0.00, -0.03)  rightControllerVel:(-0.07, -0.04, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:634   leftController:(0.26, 1.07, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(-0.02, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:647   leftController:(0.26, 1.07, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.03, -0.01, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:677   leftController:(0.26, 1.07, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.04, 0.03, -0.02)  rightControllerVel:(0.03, 0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:690   leftController:(0.26, 1.07, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.05, 0.06, -0.02)  rightControllerVel:(0.03, 0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:699   leftController:(0.26, 1.07, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.06, 0.08, -0.03)  rightControllerVel:(0.04, 0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:710   leftController:(0.26, 1.08, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.07, 0.11, -0.03)  rightControllerVel:(0.04, 0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:721   leftController:(0.26, 1.08, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.08, 0.13, -0.04)  rightControllerVel:(0.05, 0.08, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:730   leftController:(0.26, 1.08, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.10, 0.16, -0.04)  rightControllerVel:(0.05, 0.09, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:739   leftController:(0.26, 1.08, 0.22)  rightController:(-0.07, 1.07, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.12, 0.17, -0.04)  rightControllerVel:(0.06, 0.10, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:748   leftController:(0.27, 1.08, 0.22)  rightController:(-0.07, 1.08, 0.27)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.13, 0.18, -0.04)  rightControllerVel:(0.07, 0.11, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:766   leftController:(0.27, 1.09, 0.22)  rightController:(-0.06, 1.08, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.15, 0.18, -0.04)  rightControllerVel:(0.08, 0.11, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:791   leftController:(0.27, 1.09, 0.22)  rightController:(-0.06, 1.08, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.15, 0.15, -0.02)  rightControllerVel:(0.11, 0.12, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:812   leftController:(0.28, 1.09, 0.22)  rightController:(-0.06, 1.08, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.14, 0.12, 0.00)  rightControllerVel:(0.12, 0.11, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:840   leftController:(0.28, 1.10, 0.22)  rightController:(-0.06, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.11, 0.09, 0.01)  rightControllerVel:(0.13, 0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:857   leftController:(0.28, 1.10, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.08, 0.06, 0.02)  rightControllerVel:(0.12, 0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:879   leftController:(0.28, 1.10, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.06, 0.05, 0.02)  rightControllerVel:(0.11, 0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:902   leftController:(0.28, 1.10, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.06, 0.11, -0.02)  rightControllerVel:(0.10, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:923   leftController:(0.29, 1.11, 0.22)  rightController:(-0.05, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.16, 0.28, -0.12)  rightControllerVel:(0.09, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:949   leftController:(0.29, 1.12, 0.21)  rightController:(-0.04, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.26, 0.45, -0.19)  rightControllerVel:(0.08, 0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:39:22:968   leftController:(0.30, 1.13, 0.21)  rightController:(-0.04, 1.09, 0.28)  leftTracker:(0.15, 0.21, 0.00)  rightTracker:(-0.04, 0.20, 0.04)  headset:(0.09, 1.63, 0.04)  leftControllerVel:(0.34, 0.64, -0.24)  rightControllerVel:(0.08, 0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
