2021.4.28 16:32:03:877   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.83)  leftControllerVel:(-0.02, 0.02, -0.02)  rightControllerVel:(0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:03   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.83)  leftControllerVel:(-0.04, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:15   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.03, -0.02, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:27   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:37   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:44   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:49   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:57   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:68   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:79   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:90   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:104   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:113   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:126   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:135   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.01, -0.01, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:146   leftController:(0.05, 1.06, 1.04)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.01, -0.01, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:158   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(-0.01, -0.01, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:169   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:180   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:191   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:204   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.01)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:213   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.01)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:225   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:236   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:247   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:258   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:269   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:280   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:293   leftController:(0.05, 1.06, 1.03)  rightController:(-0.10, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
