2021.4.28 17:12:21:295   leftController:(-0.13, 1.19, 0.31)  rightController:(-0.36, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.56, 0.08)  leftControllerVel:(0.00, -0.02, 0.02)  rightControllerVel:(-0.05, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:441   leftController:(-0.14, 1.19, 0.32)  rightController:(-0.36, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.56, 0.08)  leftControllerVel:(-0.02, 0.01, 0.03)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:456   leftController:(-0.14, 1.19, 0.32)  rightController:(-0.36, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(-0.01, 0.01, 0.03)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:467   leftController:(-0.14, 1.19, 0.32)  rightController:(-0.37, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(-0.01, 0.01, 0.03)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:481   leftController:(-0.13, 1.19, 0.32)  rightController:(-0.37, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.01, 0.04)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:487   leftController:(-0.13, 1.19, 0.32)  rightController:(-0.37, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.01, 0.04)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:494   leftController:(-0.13, 1.19, 0.32)  rightController:(-0.37, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.01, 0.04)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:501   leftController:(-0.13, 1.20, 0.32)  rightController:(-0.37, 1.18, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.01, 0.04)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:509   leftController:(-0.13, 1.20, 0.32)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.01, 0.04)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:521   leftController:(-0.13, 1.19, 0.32)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.01, 0.04)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:532   leftController:(-0.13, 1.19, 0.32)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:543   leftController:(-0.13, 1.20, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:554   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:569   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:577   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.08)  leftControllerVel:(-0.01, -0.01, 0.02)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:588   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:599   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:610   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:624   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:634   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:644   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:655   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:667   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:677   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:21:688   leftController:(-0.13, 1.19, 0.33)  rightController:(-0.37, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.09)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
